index,latitude,longitude
470,22.00271326,113.00458893
471,22.00252270,113.00438340
472,22.00233214,113.00417786
473,22.00214158,113.00397233
474,22.00195102,113.00376679
475,22.00176046,113.00356126
476,22.00156989,113.00335572
477,22.00137933,113.00315019
478,22.00118877,113.00294466
479,22.00099821,113.00273912
480,22.00080765,113.00253359
481,22.00061709,113.00232805
482,22.00766786,113.00952176
483,22.00747730,113.00931622
484,22.00728674,113.00911069
485,22.00709618,113.00890515
486,22.00690561,113.00869962
487,22.00671505,113.00849408
488,22.00652449,113.00828855
489,22.00633393,113.00808302
490,22.00614337,113.00787748
491,22.00595281,113.00767195
492,22.00576225,113.00746641
493,22.00557168,113.00726088
494,22.00538112,113.00705534
495,22.00519056,113.00684981
496,22.00500000,113.00664428
497,22.00480944,113.00643874
498,22.00461888,113.00623321
499,22.00442832,113.00602767
500,22.00423775,113.00582214
501,22.00404719,113.00561660
502,22.00385663,113.00541107
503,22.00366607,113.00520553
504,22.00347551,113.00500000
505,22.00328495,113.00479447
506,22.00309439,113.00458893
507,22.00290382,113.00438340
508,22.00271326,113.00417786
509,22.00252270,113.00397233
510,22.00233214,113.00376679
511,22.00214158,113.00356126
512,22.00195102,113.00335572
513,22.00176046,113.00315019
514,22.00156989,113.00294466
515,22.00137933,113.00273912
516,22.00118877,113.00253359
517,22.00099821,113.00232805
518,22.00080765,113.00212252
519,22.00785842,113.00931622
520,22.00766786,113.00911069
521,22.00747730,113.00890515
522,22.00728674,113.00869962
523,22.00709618,113.00849408
524,22.00690561,113.00828855
525,22.00671505,113.00808302
526,22.00652449,113.00787748
527,22.00633393,113.00767195
528,22.00614337,113.00746641
529,22.00595281,113.00726088
530,22.00576225,113.00705534
531,22.00557168,113.00684981
532,22.00538112,113.00664428
533,22.00519056,113.00643874
534,22.00500000,113.00623321
535,22.00480944,113.00602767
536,22.00461888,113.00582214
537,22.00442832,113.00561660
538,22.00423775,113.00541107
539,22.00404719,113.00520553
540,22.00385663,113.00500000
541,22.00366607,113.00479447
542,22.00347551,113.00458893
543,22.00328495,113.00438340
544,22.00309439,113.00417786
545,22.00290382,113.00397233
546,22.00271326,113.00376679
547,22.00252270,113.00356126
548,22.00233214,113.00335572
549,22.00214158,113.00315019
550,22.00195102,113.00294466
551,22.00176046,113.00273912
552,22.00156989,113.00253359
553,22.00137933,113.00232805
554,22.00118877,113.00212252
555,22.00099821,113.00191698
556,22.00804898,113.00911069
557,22.00785842,113.00890515
558,22.00766786,113.00869962
559,22.00747730,113.00849408
560,22.00728674,113.00828855
561,22.00709618,113.00808302
562,22.00690561,113.00787748
563,22.00671505,113.00767195
564,22.00652449,113.00746641
565,22.00633393,113.00726088
566,22.00614337,113.00705534
567,22.00595281,113.00684981
568,22.00576225,113.00664428
569,22.00557168,113.00643874
570,22.00538112,113.00623321
571,22.00519056,113.00602767
572,22.00500000,113.00582214
573,22.00480944,113.00561660
574,22.00461888,113.00541107
575,22.00442832,113.00520553
576,22.00423775,113.00500000
577,22.00404719,113.00479447
578,22.00385663,113.00458893
579,22.00366607,113.00438340
580,22.00347551,113.00417786
581,22.00328495,113.00397233
582,22.00309439,113.00376679
583,22.00290382,113.00356126
584,22.00271326,113.00335572
585,22.00252270,113.00315019
586,22.00233214,113.00294466
587,22.00214158,113.00273912
588,22.00195102,113.00253359
589,22.00176046,113.00232805
590,22.00156989,113.00212252
591,22.00137933,113.00191698
